SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_10_0,45,438000,30,34400,23,50200,31,4822200,26,864200,38,857500,
seq_10_1,45,44600,34,25200,25,33600,25,9600,26,14600,40,26100,
seq_10_2,45,8600,21,4700,20,26300,29,9000,37,16400,40,27000,
seq_10_3,45,11600,35,6800,22,29800,27,8700,25,12500,36,26400,
seq_10_4,45,11100,42,7700,22,26500,25,7600,23,10900,40,27200,
seq_10_5,45,10100,33,6300,24,24400,23,10700,27,11700,41,27700,
seq_10_6,45,9200,28,5600,23,26000,22,7900,22,9800,42,27200,
seq_10_7,45,9300,28,5800,23,49100,21,10500,23,42500,36,27100,
seq_10_8,45,11200,29,5800,24,22100,21,7000,20,10600,41,40300,
seq_10_9,45,12300,34,7900,22,31700,24,11300,20,15300,39,41900,
seq_10_10,45,12500,35,9800,23,28100,21,9700,21,12500,39,33400,
seq_10_11,45,12500,34,6500,24,24900,22,8600,25,13600,36,31600,
seq_10_12,45,9400,30,5800,23,36100,25,7300,25,12300,40,55300,
seq_10_13,45,10400,25,6100,22,22900,19,7900,24,12900,41,32700,
seq_10_14,45,10500,32,5900,22,21000,26,8600,22,11500,37,30100,
seq_10_15,45,9100,27,5200,23,22900,24,7800,19,11400,39,29100,
seq_10_16,45,9200,29,5400,20,19600,24,7200,25,10700,42,14100,
seq_10_17,45,9000,28,5300,24,20200,29,9000,21,10800,39,14300,
seq_10_18,45,8700,18,3800,19,16200,33,13300,37,13800,41,18600,
seq_10_19,45,9300,22,4500,21,399500,27,17000,24,17000,38,14400,
seq_10_20,45,8400,24,5000,22,27900,24,19600,25,21700,40,14700,
seq_10_21,45,8600,25,4900,20,27400,26,6700,23,10800,40,13800,
seq_10_22,45,10100,36,6500,21,16000,22,6600,23,9800,38,13600,
seq_10_23,45,10300,35,6500,23,14600,30,7500,35,28100,37,13900,
seq_10_24,45,9900,33,6400,23,19300,25,7400,21,15500,37,19700,
seq_10_25,45,10500,38,7400,22,16200,19,6100,29,10300,36,47800,
seq_10_26,45,9500,31,6300,24,14800,20,6700,24,8500,37,13300,
seq_10_27,45,8400,24,5000,22,16500,24,8000,27,10400,39,16800,
seq_10_28,45,9500,31,6000,22,14000,22,7600,25,8700,38,28200,
seq_10_29,45,10400,35,6700,22,18900,29,8200,23,7300,36,15800,
seq_10_30,45,9400,32,5800,24,16100,20,6100,22,7000,36,9900,
seq_10_31,45,7900,22,4400,22,13600,31,9200,33,10800,39,16100,
seq_10_32,45,9000,31,5800,23,16100,25,8100,36,9800,41,7800,
seq_10_33,45,10800,42,9400,23,14400,25,6700,20,7700,38,8800,
seq_10_34,45,8100,24,4800,21,15700,28,8200,23,7400,40,7800,
seq_10_35,45,8600,28,5200,23,30900,20,6700,29,10100,38,9000,
seq_10_36,45,8100,22,4500,23,14800,20,6100,25,9100,41,10100,
seq_10_37,45,10600,34,6200,22,16100,21,6600,25,7500,35,7600,
seq_10_38,45,8300,26,5000,22,13600,22,7500,27,15700,41,8400,
seq_10_39,45,10200,38,7000,20,17500,21,6400,19,8400,36,7700,
seq_10_40,45,8800,29,5400,22,16300,31,122100,22,57300,41,8300,
seq_10_41,45,11100,26,5000,22,54300,21,6300,23,2100,40,10300,
seq_10_42,45,9900,36,6600,21,6100,22,40800,21,2300,40,8100,
seq_10_43,45,9300,33,6100,23,4100,23,1500,21,2100,37,8000,
seq_10_44,45,9000,29,5500,23,6200,29,1900,29,2200,39,9100,
seq_10_45,45,9600,34,6200,19,6200,21,1500,22,2000,40,7800,
seq_10_46,45,11100,44,7600,20,3600,23,1500,27,2300,35,9200,
seq_10_47,45,8900,30,5600,24,6400,27,1500,24,1800,41,8200,
seq_10_48,45,7800,22,4200,22,3800,24,1500,22,2200,37,7900,
seq_10_49,45,7400,20,4000,23,3800,30,2000,21,1900,41,7500,
seq_10_50,45,9300,35,6000,17,6800,21,1500,20,1900,42,10900,
seq_10_51,45,8100,24,5300,22,4000,21,3900,27,2500,41,8200,
seq_10_52,45,9000,33,6000,24,5900,30,1600,24,1800,36,7400,
